id,date,revenue
851,2019-05-03,
852,2019-05-04,
853,2019-05-05,488461.42
854,2019-05-06,29136.38
855,2019-05-07,537630.94
856,2019-05-08,
857,2019-05-09,
858,2019-05-10,
859,2019-05-11,
860,2019-05-12,3892.14
861,2019-05-13,
862,2019-05-14,252476.11
863,2019-05-15,
864,2019-05-16,445361.91
865,2019-05-17,
866,2019-05-18,
867,2019-05-19,220063.11
868,2019-05-20,
869,2019-05-21,145156.14
870,2019-05-22,107239.8
871,2019-05-23,
872,2019-05-24,
873,2019-05-25,
874,2019-05-26,
875,2019-05-27,500206.64
876,2019-05-28,
877,2019-05-29,
878,2019-05-30,260822.25
879,2019-05-31,
880,2019-06-01,
881,2019-06-02,108188.81
882,2019-06-03,167428
883,2019-06-04,22953
884,2019-06-05,130224.59
885,2019-06-06,63074.58
886,2019-06-07,
887,2019-06-08,
888,2019-06-09,321773.88
889,2019-06-10,104623.53
890,2019-06-11,69935.94
891,2019-06-12,160531.2
892,2019-06-13,214040.34
893,2019-06-14,
894,2019-06-15,
895,2019-06-16,23672.34
896,2019-06-17,366597.42
897,2019-06-18,
898,2019-06-19,8765.8
899,2019-06-20,614002.65
900,2019-06-21,
901,2019-06-22,
902,2019-06-23,100646.94
903,2019-06-24,
904,2019-06-25,
905,2019-06-26,9723.66
906,2019-06-27,178064.79
907,2019-06-28,
908,2019-06-29,
909,2019-06-30,103844.46
910,2019-07-01,
911,2019-07-02,52929.58
912,2019-07-03,
913,2019-07-04,
914,2019-07-05,
915,2019-07-06,
916,2019-07-07,288383.86
917,2019-07-08,221209.19
918,2019-07-09,
919,2019-07-10,
920,2019-07-11,190827.26
921,2019-07-12,
922,2019-07-13,
923,2019-07-14,
924,2019-07-15,147887.87
925,2019-07-16,154878.28
926,2019-07-17,
927,2019-07-18,
928,2019-07-19,
929,2019-07-20,
930,2019-07-21,35021.45
931,2019-07-22,
932,2019-07-23,202889.95
933,2019-07-24,
934,2019-07-25,362360.24
935,2019-07-26,
936,2019-07-27,
937,2019-07-28,191593.5
938,2019-07-29,375690.23
939,2019-07-30,
940,2019-07-31,30388.95
941,2019-08-01,
942,2019-08-02,
943,2019-08-03,
944,2019-08-04,287490.96
945,2019-08-05,353470.32
946,2019-08-06,6714.78
947,2019-08-07,72156.45
948,2019-08-08,303576
949,2019-08-09,94804.39
950,2019-08-10,
951,2019-08-11,
952,2019-08-12,265117.79
953,2019-08-13,175617.49
954,2019-08-14,
955,2019-08-15,133615.19
956,2019-08-16,
957,2019-08-17,
958,2019-08-18,97359.84
959,2019-08-19,192128.48
960,2019-08-20,132534.65
961,2019-08-21,34219.13
962,2019-08-22,60475.94
963,2019-08-23,
964,2019-08-24,
965,2019-08-25,144918.36
966,2019-08-26,98949.23
967,2019-08-27,54292.63
968,2019-08-28,
969,2019-08-29,
970,2019-08-30,
971,2019-08-31,
972,2019-09-01,
973,2019-09-02,63963.65
974,2019-09-03,224282.53
975,2019-09-04,808.09
976,2019-09-05,58356.41
977,2019-09-06,
978,2019-09-07,
979,2019-09-08,275021.28
980,2019-09-09,160682.73
